Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622167839166
Timestamp end: 1622169639646

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      452.8  1260.1    74.4   154.3   193.8   308.7   364.1   396.0   421.8   456.0   505.5   701.4  3384.6 28941.9 32354.7   5025.9     5031
read      477.6   844.5    68.9   122.6   145.6   352.3   444.2   499.4   546.0   610.5   711.1  1227.8  2550.8 10478.9 31800.6  54843.0    54838
read      453.5   822.3    74.4   128.1   153.4   358.2   443.8   494.6   536.6   593.0   677.6   841.4  2732.7 10659.4 31993.1  74953.6    74868
read      532.5   855.4    74.4   120.5   141.7   344.2   464.7   570.2   713.2  1003.9  1188.5  1386.0  2474.6  9789.0 31781.0  29966.2    30015
read      469.5   641.5    74.4   120.3   141.5   346.3   437.0   500.4   553.7   630.8   809.7  1452.0  2100.0  6384.0 29370.5  40670.1    40743
read      540.3   939.1    74.4   121.1   143.3   348.1   499.9   644.0   805.4   927.6  1049.4  1224.0  3041.8 11041.0 32194.8  23751.3    23648
read      565.5   739.6    74.4   184.3   248.1   458.3   523.7   583.8   656.8   779.5   901.7  1153.0  2134.6  8774.2 30978.5  97743.9    97712
read      431.0   680.1    68.9   120.0   141.7   344.6   431.9   483.0   525.5   579.7   652.5   827.0  2300.0  7911.3 31154.4  53645.1    53672
read      432.2   677.4    68.9   121.4   143.4   343.7   431.4   483.5   526.1   580.7   656.4   843.6  2201.6  8498.6 31152.9  55428.4    55395
read      535.9   844.5    68.9   118.9   140.3   342.8   470.2   587.1   786.8  1022.3  1184.2  1373.2  2395.6 11337.7 31715.7  29437.4    29425
read      525.1   968.7    74.4   125.9   150.2   375.6   532.9   644.5   711.9   781.1   861.2   999.4  3027.6 12408.4 32049.2  15251.9    15173
read      558.4   764.4    74.4   145.0   186.7   421.9   498.8   561.1   634.8   756.0   936.4  1645.4  2609.3  8244.1 30987.8  82381.6    82475
read      470.7   700.7    74.4   141.4   176.3   391.7   473.8   525.6   569.5   630.6   724.0   892.2  2352.0  8855.8 30885.8  90525.9    90555
read      435.9   770.2    74.4   118.6   140.0   341.5   427.2   476.6   519.1   574.2   649.3   871.7  2156.4  9329.3 31467.4  47971.4    47944
read      531.2   806.9    74.4   120.4   142.5   345.2   478.9   595.9   772.7   983.2  1141.5  1330.2  2692.8  8406.5 32243.2  28365.1    28313
read      561.8   881.2    74.4   122.0   144.5   355.5   504.8   669.9   895.9  1060.7  1206.5  1396.0  2335.0 10728.8 32242.4  28561.9    28504
read      566.8  1094.3    74.4   120.6   143.8   355.6   532.2   718.6   842.2   944.5  1054.1  1214.2  3210.5 13433.6 35333.3  22894.4    22886
read      475.0   879.0    74.4   117.8   138.6   340.3   430.8   494.7   547.6   619.1   784.1  1352.5  2203.2 12178.0 32107.0  35722.0    35717
read      555.4  1156.5    74.4   123.3   147.1   372.4   523.8   633.3   702.2   775.1   864.6  1076.6  3716.9 18283.1 32433.5  14786.8    14828
read      545.5   801.1    68.9   139.7   178.0   410.0   486.2   544.6   612.6   719.9   893.4  1602.5  2693.4 10014.2 31403.7  81741.5    81704
read      441.9   758.4    74.4   120.7   142.5   343.3   430.5   482.1   525.5   582.6   663.1   877.6  2352.1  9662.7 31808.5  55716.2    55771
read      453.5   760.5    74.4   134.0   163.9   370.6   451.9   501.8   543.2   601.8   688.7   836.3  2380.7 11087.1 31313.6  85220.7    85226
read      437.2   796.0    74.4   125.4   149.6   346.2   429.8   479.4   521.0   578.1   657.8   801.0  2527.9 10244.4 31943.7  74974.4    75020
read      602.8  1757.7    74.4   124.2   148.5   356.8   476.9   558.7   615.1   676.5   755.4   929.7  6831.2 31109.9 37407.2  12401.6    12441
read      454.2   651.9    68.9   122.1   144.6   343.3   434.3   491.0   538.6   601.5   693.5  1182.0  2475.6  6970.7 30368.6  56315.4    56208
read      523.7  1043.4    74.4   122.0   145.3   361.8   512.1   641.9   725.4   804.7   891.9  1029.4  3020.6 11805.1 34730.5  17456.2    17446
read      537.0   855.3    68.9   148.4   189.6   422.2   495.9   545.6   600.9   695.9   840.5  1114.9  2653.4 12201.7 31703.1  86987.9    86943
read      445.5   779.0    74.4   120.3   142.1   348.0   436.0   488.6   532.8   589.5   669.8   892.1  2258.5  9314.8 32002.9  49065.2    49138
read      430.8   658.4    68.9   119.2   141.0   343.1   430.9   481.2   524.1   579.7   654.6   869.8  2170.8  7232.9 30794.3  49799.8    49839
read      425.0   637.4    74.4   118.0   139.1   339.8   426.2   476.0   519.6   575.6   651.6   891.6  2054.6  7102.7 30744.5  47584.9    47752
read      868.4  2448.8    74.4   122.6   146.4   374.1   532.4   755.4  1014.5  1210.3  1485.4  2489.1  7829.1 32270.3 61845.3  27143.0    27181
read     5512.4 60503.8    80.4   145.6   188.5   342.5   434.0   495.7   550.2   658.2  1554.4  3451.6 31597.7 930608.8 960663.5   6143.6     6170
read      717.9  2962.4    80.4   141.5   180.7   346.3   440.9   495.0   537.1   593.0   706.4  1313.0  6613.4 52324.8 63733.7   7189.2     7187
read      633.5   610.3    74.4   326.7   379.4   499.4   570.1   659.2   795.5   895.7   989.2  1348.6  2075.8  6657.2 24717.5  99182.3    99387
read      453.2   691.1    68.9   137.5   170.3   377.7   458.8   507.9   550.3   611.1   693.3   846.4  2173.5  8832.5 31040.9  91800.2    91970
read      446.0   735.0    74.4   129.6   156.6   360.7   444.6   495.8   539.0   597.4   680.7   831.3  2413.1 10091.5 31417.4  79643.5    79658
read      440.5   649.8    68.9   122.6   145.1   346.6   436.2   490.3   534.4   590.7   670.0   877.2  2451.5  7734.2 30487.3  59263.9    59230
read      455.2   787.9    74.4   128.8   155.2   361.9   447.0   498.9   541.3   598.1   681.4   842.6  2677.7 10934.6 31398.1  78004.0    78081
read      430.6   658.8    74.4   121.6   144.0   340.2   427.4   478.1   520.4   577.1   653.6   832.1  2353.5  7669.4 30846.9  64164.6    64242
read      432.8   764.3    74.4   119.0   140.2   346.5   429.6   481.8   526.2   580.9   656.6   893.0  1841.3 10263.0 31868.0  37618.3    37702
read      420.3   568.8    74.4   117.7   138.8   342.0   424.3   473.9   517.6   573.6   649.3   938.0  1905.2  6090.8 29937.0  40718.4    40686
read      502.3   626.7    74.4   121.1   142.0   342.7   459.3   566.1   714.4   982.4  1166.0  1352.4  1731.2  5796.6 29237.6  30359.9    30376
read      443.0   685.5    74.4   118.0   139.0   342.7   428.2   484.4   531.4   591.7   686.6  1200.6  2020.9  8003.1 31181.8  38418.6    38416
read      444.7   724.7    74.4   123.7   147.1   351.3   440.4   493.1   536.5   592.6   672.5   851.4  2461.1  8482.8 31495.0  65866.6    65892
read      430.5   668.4    74.4   119.5   140.4   344.6   429.2   482.6   527.5   584.8   664.4   935.0  1878.2  8108.9 30971.7  39577.0    39560
read      490.6  1166.8    74.4   127.9   155.8   355.6   458.6   524.0   569.4   619.4   681.6   792.3  3119.0 16184.3 36918.1   9985.5    10016
read      439.6   581.9    74.4   120.4   142.3   339.3   429.0   483.4   529.7   589.8   679.0  1155.9  2276.2  5809.1 25201.8  55290.4    55224
read      517.3   731.2    68.9   122.1   145.6   358.5   513.6   662.9   781.6   882.7   987.9  1150.8  2505.6  8228.4 31076.0  20022.4    19982
read      447.4   768.2    68.9   120.3   141.8   348.4   434.9   488.0   532.7   588.9   668.8   931.6  2287.4  9688.3 31781.5  48205.1    48114
read      422.3   577.6    74.4   118.7   139.6   345.1   429.4   482.8   527.3   581.8   657.3   896.5  1811.6  6662.4 28030.0  36281.5    36283
read      412.1   741.6    74.4   118.4   138.0   328.8   419.4   473.5   513.9   562.9   632.6   879.4  1561.6  8892.1 32294.8  23237.9    23315
read      391.9   859.8    74.4   128.2   150.0   317.3   384.0   420.4   447.8   482.8   540.7   673.7  1922.2 10099.6 32449.8  11142.4    11150
read      488.7   625.9    74.4   153.9   198.1   425.0   505.1   558.8   600.7   658.7   760.0   930.1  1565.9  7449.9 30972.0  98764.4    98724
read      437.4   766.3    74.4   120.0   141.9   345.0   433.7   484.5   526.5   580.9   654.8   838.1  2274.7  8807.9 31750.6  56827.5    56880
read      400.3   832.1    74.4   122.8   143.3   323.6   397.9   436.3   466.0   503.9   564.5   709.9  2055.1 10512.2 35477.5  13499.5    13467
read      469.4   646.0    74.4   148.8   187.6   404.1   482.7   538.1   584.4   639.6   726.7   878.2  1455.4  8014.6 31166.7  99290.5    99368
read      438.6   709.3    74.4   119.9   141.4   349.0   435.5   488.2   532.2   587.6   666.1   912.6  2041.3  8476.3 31087.8  46234.1    46206
read      448.3   779.0    68.9   125.6   150.1   355.8   443.1   494.8   537.2   593.7   675.2   836.7  2597.1 10046.3 31573.2  71529.6    71651
read      411.4   762.5    74.4   118.1   138.1   326.4   415.4   469.9   509.2   555.4   623.2   848.9  1606.0  9745.4 31486.7  22642.4    22741
read      428.5   635.2    74.4   120.1   141.9   342.6   428.6   479.3   521.9   576.1   648.6   831.2  2238.3  7815.4 28769.7  56649.4    56654
read      489.9   586.5    74.4   155.1   198.0   427.9   510.5   569.3   614.2   673.2   770.5   933.0  1457.5  6738.7 30432.4  99485.3    99570
read      405.1   675.1    74.4   117.6   136.8   323.2   411.3   465.6   504.0   549.0   614.0   858.0  1623.6  7810.2 31552.5  23100.2    23047
read      443.6   702.4    74.4   125.2   149.3   352.8   438.4   491.1   534.4   590.9   671.6   837.3  2571.2  8287.9 30836.2  69945.3    70008
read      419.1   609.6    74.4   119.0   139.8   345.8   429.3   481.1   524.4   578.1   652.6   881.7  1805.8  6029.6 29934.0  42811.5    42943
read      423.6   547.3    68.9   119.2   140.2   344.8   431.0   482.6   526.3   582.4   660.1   909.8  1993.6  6073.6 23235.2  46757.9    46704
read      438.0   660.6    74.4   126.4   151.2   354.1   438.7   490.1   532.2   588.4   670.7   829.1  2606.1  7698.3 30870.8  76100.8    75970
read      418.1   741.3    74.4   118.8   138.3   328.2   418.6   472.5   512.6   562.4   638.9   904.0  1722.6  8605.5 31759.7  21963.4    21917
read      445.4   677.0    74.4   130.4   157.8   364.3   448.7   499.7   542.0   599.6   683.7   844.3  2410.1  8229.0 31090.5  81888.9    82027
read      468.4   827.4    74.4   133.5   163.3   375.5   457.8   507.8   551.0   613.0   701.7   861.9  2591.4 11599.3 31875.1  81493.9    81583
read      390.2   665.2    74.4   122.3   142.8   326.0   401.5   442.6   472.5   512.7   576.1   734.3  1429.4  8332.7 31007.1  14224.3    14259
read      400.3  1073.0    80.4   135.6   161.7   301.4   352.2   382.6   405.2   436.4   488.4   590.8  2445.2 17806.3 32741.4   7833.1     7821
read      406.5   710.3    74.4   122.1   142.6   331.0   416.4   465.6   501.4   543.8   614.3   812.5  1554.3  8429.6 31457.1  17730.9    17727
read      448.3   721.5    74.4   126.6   150.0   351.7   439.5   493.1   537.2   594.6   676.9   859.5  2540.2  8694.7 31218.8  65477.7    65559
read      427.7   666.2    68.9   120.3   141.4   345.2   429.5   484.0   528.5   583.0   656.9   896.4  1853.3  7802.0 30308.6  41187.6    41133
read      429.5   776.6    74.4   120.0   140.5   336.8   423.4   480.8   524.5   575.9   649.1   914.6  1891.9 10605.8 31620.2  28758.4    28693
read      443.7   710.3    74.4   121.9   144.1   347.2   435.2   489.4   534.3   592.1   676.1   943.8  2212.3  8145.1 31504.5  53204.1    53141
read      450.6   709.8    74.4   122.7   145.0   347.0   436.1   490.7   536.5   596.4   685.0  1026.7  2314.2  8440.4 30962.2  54495.7    54512
read      400.4   722.8    74.4   121.9   142.1   328.0   406.9   451.2   483.5   525.8   594.1   768.7  1796.8  7915.1 31618.5  14909.4    14835
read      457.7   550.9    74.4   146.6   183.8   396.4   475.2   531.5   579.4   638.4   724.0   867.7  1516.6  5923.6 21792.8  98344.0    98446
read      419.7   524.6    74.4   118.9   139.6   343.7   427.0   481.6   527.9   582.8   660.8   960.4  1806.0  5653.7 23783.2  38139.0    38117
read      437.1   674.8    74.4   127.5   152.8   353.5   436.9   489.7   532.2   588.8   669.9   813.4  2407.6  9538.4 30687.4  77944.0    77994
read      436.0   658.4    68.9   121.4   142.4   347.5   434.4   495.8   542.5   598.0   684.7  1033.2  1724.2  8035.2 30952.6  30179.6    30209
read      445.5   654.2    68.9   125.6   149.4   353.4   440.8   494.6   538.5   596.1   681.3   879.3  2560.3  7309.7 30436.3  68331.2    68315
read      453.2   655.3    74.4   138.7   171.3   383.4   465.6   516.2   558.7   616.7   700.5   855.5  1849.7  8717.2 31115.2  91841.5    91940
read      435.4   588.6    74.4   121.5   143.0   347.2   437.0   491.3   535.7   593.5   679.7  1037.7  2029.9  6561.2 30410.4  49360.4    49308
read      462.2   875.6    74.4   119.8   140.7   347.7   433.5   487.7   534.6   594.5   685.7  1124.8  2322.7 10747.1 34566.4  46860.5    46880
read      456.1   682.7    74.4   140.1   174.1   386.4   465.2   513.0   552.8   611.0   699.2   851.1  1981.6  8534.5 31082.6  92643.6    92540
read      450.1   778.8    74.4   120.9   142.5   351.1   439.9   494.2   539.0   597.6   683.6   993.6  2122.9  8905.2 32224.3  49465.8    49396
read      482.6   640.7    68.9   151.7   193.0   418.9   498.9   551.2   595.8   653.5   745.2   911.9  1433.2  7709.7 30499.0  97727.1    97841
read      431.2   648.3    68.9   119.0   139.7   345.4   430.2   487.2   533.8   591.5   676.6  1042.2  1772.9  7394.4 30645.4  35376.6    35404
read      460.4   709.9    74.4   131.7   160.4   375.3   461.5   514.6   558.3   618.4   706.5   877.3  2494.9  9327.6 31147.8  80276.0    80451
