Random waveform, supplied seed
Total number of intervals = 360 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007)
Average QPS expected = 51278
Timestamp start: 1622182742628
Timestamp end: 1622184543135

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      473.0   859.1    74.4   139.8   172.2   387.1   466.9   514.2   552.2   609.6   694.6   846.2  2484.3 12273.5 31759.4  85050.8    85226
read      477.3   836.4    74.4   132.2   159.8   372.5   458.7   509.9   552.4   611.9   699.1   896.0  2912.1 11675.3 31875.8  75374.0    75020
read      546.9  1310.6    80.4   126.3   151.8   361.2   485.0   577.2   641.3   708.9   789.4   946.3  4074.6 22047.0 32225.7  12426.6    12441
read      541.8   726.9    74.4   128.8   155.7   379.7   475.2   545.4   614.0   715.2  1085.1  1775.2  2720.7  6577.1 30215.8  55992.6    56208
read      540.1  1091.8    74.4   123.2   146.6   364.4   505.7   622.0   724.9   817.4   915.2  1069.3  3348.0 12343.7 32117.7  17550.6    17446
read      765.1   871.9    80.4   341.7   389.6   528.6   651.5   828.1   944.0  1086.8  1585.9  1887.9  2821.4 11842.1 31642.5  86894.4    86943
read      440.9   752.0    74.4   120.3   142.6   353.4   439.2   490.1   530.8   583.3   654.9   832.8  2164.6 10092.0 32154.5  49059.6    49138
read      444.7   641.9    74.4   120.1   142.9   353.9   441.1   493.4   537.5   593.8   676.9   988.6  2203.8  7827.8 30266.0  49744.2    49839
read      435.2   678.4    74.4   119.3   141.1   350.3   435.2   485.6   527.4   581.2   654.5   890.3  2125.2  8031.3 31170.5  47829.2    47752
read      565.2  1140.9    74.4   120.2   142.4   346.1   470.0   578.2   729.7   955.5  1121.1  1319.4  3881.5 13566.8 36285.1  27277.4    27181
read      665.0  2452.2    80.4   140.0   183.7   316.5   387.7   427.6   458.2   495.8   549.3   817.3 11677.2 32192.6 42880.0   6176.4     6170
read      704.2  2510.5    80.4   135.0   175.8   335.1   420.6   467.8   502.7   543.8   605.6   972.7 12260.3 35684.2 48292.1   7210.0     7187
read      695.1   674.0    86.8   394.6   420.0   514.5   572.7   750.3   898.3   974.4  1075.2  1645.2  2286.1  6915.5 27719.2  99438.4    99387
read      508.2   595.9    68.9   165.6   219.9   448.3   526.5   580.1   625.0   687.3   792.7   941.6  1365.4  6921.3 28312.3  91778.8    91970
read      498.4   887.0    74.4   138.1   171.3   399.6   491.3   544.4   586.8   642.7   733.7   930.7  2769.1 12528.8 32104.4  79623.0    79658
read      462.9   786.3    74.4   124.2   148.1   360.0   450.6   502.0   543.6   601.4   680.9   891.2  2640.2  8108.7 31826.2  59289.8    59230
read      462.7   737.4    74.4   133.3   162.4   375.6   460.0   509.5   549.7   605.5   687.7   842.6  2847.2  9113.4 31357.8  78226.6    78081
read      469.6   811.6    74.4   126.0   150.9   363.6   450.8   503.8   548.0   608.3   689.8   893.6  2715.9 10257.6 31277.9  64282.4    64242
read      425.0   609.0    74.4   118.8   140.2   351.9   432.6   485.6   529.8   583.5   655.0   887.5  1762.8  7292.9 30137.8  37753.8    37702
read      446.2   866.2    74.4   119.4   140.7   351.6   433.1   484.2   527.8   581.2   656.2   928.0  1879.9 11698.8 31704.6  40620.0    40686
read      601.7  1262.8    68.9   122.5   144.8   356.5   477.8   579.7   694.4  1031.2  1267.1  1526.9  4397.6 22742.2 32518.7  30377.6    30376
