start  1622178141 
submit splash2x-fft 1622178143 
submit freqmine 1622178143 
submit blackscholes 1622178143 
submit dedup 1622178144 
submit canneal 1622178145 
submit ferret 1622178147 
pause dedup 1622178149 
pause splash2x-fft 1622178149 
change_core 2 1622178149 
unpause dedup 1622178152 
unpause splash2x-fft 1622178152 
change_core 1 1622178152 
pause dedup 1622178155 
pause splash2x-fft 1622178155 
change_core 2 1622178155 
unpause dedup 1622178157 
unpause splash2x-fft 1622178157 
change_core 1 1622178157 
pause dedup 1622178161 
pause splash2x-fft 1622178161 
change_core 2 1622178161 
unpause dedup 1622178170 
unpause splash2x-fft 1622178170 
change_core 1 1622178170 
pause dedup 1622178176 
pause splash2x-fft 1622178177 
change_core 2 1622178177 
unpause dedup 1622178184 
unpause splash2x-fft 1622178184 
change_core 1 1622178184 
pause dedup 1622178193 
pause splash2x-fft 1622178193 
change_core 2 1622178193 
unpause dedup 1622178196 
unpause splash2x-fft 1622178196 
change_core 1 1622178196 
pause dedup 1622178199 
pause splash2x-fft 1622178199 
change_core 2 1622178199 
unpause dedup 1622178211 
unpause splash2x-fft 1622178211 
change_core 1 1622178211 
pause dedup 1622178215 
pause splash2x-fft 1622178215 
change_core 2 1622178215 
unpause dedup 1622178217 
unpause splash2x-fft 1622178217 
change_core 1 1622178217 
pause dedup 1622178220 
pause splash2x-fft 1622178221 
change_core 2 1622178221 
unpause dedup 1622178232 
unpause splash2x-fft 1622178233 
change_core 1 1622178233 
pause dedup 1622178241 
pause splash2x-fft 1622178241 
change_core 2 1622178241 
unpause dedup 1622178265 
unpause splash2x-fft 1622178265 
change_core 1 1622178265 
pause dedup 1622178269 
pause splash2x-fft 1622178269 
change_core 2 1622178269 
unpause dedup 1622178277 
unpause splash2x-fft 1622178277 
change_core 1 1622178277 
pause dedup 1622178281 
pause splash2x-fft 1622178281 
change_core 2 1622178281 
unpause dedup 1622178283 
unpause splash2x-fft 1622178283 
change_core 1 1622178283 
pause dedup 1622178287 
pause splash2x-fft 1622178287 
change_core 2 1622178287 
unpause dedup 1622178292 
unpause splash2x-fft 1622178292 
change_core 1 1622178292 
pause dedup 1622178298 
pause splash2x-fft 1622178298 
change_core 2 1622178298 
unpause dedup 1622178305 
unpause splash2x-fft 1622178305 
change_core 1 1622178305 
pause dedup 1622178307 
pause splash2x-fft 1622178307 
change_core 2 1622178307 
unpause dedup 1622178316 
unpause splash2x-fft 1622178316 
change_core 1 1622178316 
pause dedup 1622178320 
pause splash2x-fft 1622178320 
change_core 2 1622178320 
unpause dedup 1622178325 
unpause splash2x-fft 1622178325 
change_core 1 1622178325 
pause dedup 1622178329 
