Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622187489471
Timestamp end: 1622189289880

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      581.0  1699.1    80.4   164.1   225.1   369.6   434.3   472.3   503.6   544.0   614.8  1011.5  5299.8 31401.2 40695.9   4997.7     5031
read      514.3   803.3    68.9   127.8   151.9   387.2   489.5   550.7   604.7   677.9   797.6  1433.9  2729.8  8253.4 31844.3  54787.8    54838
read      491.1   831.0    68.9   134.7   164.3   392.9   483.7   537.7   581.5   640.2   729.7   917.1  2801.3 10514.1 31736.9  74867.3    74868
read      579.8   862.4    74.4   120.2   141.4   382.6   510.6   620.6   743.5  1151.7  1357.9  1572.2  2354.2 11234.5 31990.3  29989.3    30015
read      491.1   768.2    74.4   122.4   144.7   389.5   482.3   544.2   598.0   669.1   776.2  1359.8  2202.5  7262.7 31923.7  40733.0    40743
read      657.4  1287.7    74.4   123.6   147.2   410.6   590.3   782.1   961.2  1094.4  1230.6  1423.0  4498.7 20786.9 36679.6  23651.4    23648
read      649.2   530.2    74.4   363.9   413.8   536.2   594.1   667.8   784.2   929.3  1026.5  1180.2  2007.9  4789.0 19583.0  97828.7    97712
read      471.9   776.1    74.4   123.6   146.7   381.1   473.8   527.6   570.7   629.1   711.6   907.2  2372.2  9181.0 31641.9  53721.8    53672
read      476.0   747.4    74.4   124.5   148.1   384.2   479.2   534.2   579.2   637.3   724.7   943.6  2432.3  7452.4 31541.0  55482.3    55395
read      594.8   979.8    74.4   116.8   137.2   377.7   513.4   634.7   866.1  1189.0  1359.1  1557.5  2517.3 12572.4 32023.4  29461.1    29425
read      651.8  1464.9    74.4   127.4   155.7   443.6   636.5   758.4   826.4   897.4   986.9  1154.8  4497.0 28542.1 36758.0  15128.2    15173
read      607.2   792.8    74.4   162.1   219.1   475.7   556.9   620.1   690.6   811.6  1006.0  1608.8  2756.4  9283.6 31323.3  82329.1    82475
read      511.3   751.7    74.4   151.8   195.6   441.3   526.6   578.3   621.0   678.6   771.1   958.7  1855.5  9166.5 31838.0  90734.4    90555
read      465.2   690.9    74.4   122.4   144.6   382.3   471.9   526.1   571.3   630.2   712.0   925.9  2231.9  7637.6 31132.6  47881.3    47944
read      587.9   957.4    74.4   120.1   142.0   379.9   524.3   658.5   916.3  1119.4  1266.7  1449.4  2606.6 11768.4 32409.9  28274.7    28313
read      604.2   985.3    74.4   120.8   142.7   383.0   538.7   701.4  1000.9  1179.0  1317.5  1488.5  2401.2 11045.2 32403.2  28519.7    28504
read      629.7  1127.4    68.9   121.9   145.8   403.4   595.9   829.3   963.3  1072.8  1188.3  1366.6  3461.6 12824.3 35779.4  22955.6    22886
read      507.6   826.9    68.9   121.9   144.1   390.6   488.7   559.7   619.6   695.0   850.5  1388.5  2067.3  9348.1 31818.3  35681.8    35717
read      646.8  1524.9    74.4   126.0   153.7   439.7   608.5   731.3   804.5   877.1   966.5  1132.6  4578.0 30633.6 36601.0  14829.4    14828
read      563.6   732.9    74.4   147.4   192.2   459.6   550.8   613.5   669.5   750.0   899.6  1391.1  2526.1  8283.5 31408.3  81615.6    81704
read      476.7   750.3    74.4   124.1   147.3   385.8   480.5   533.9   577.4   635.2   719.3   923.1  2515.3  8160.3 31740.6  55672.5    55771
read      493.9   750.0    68.9   140.3   176.4   415.0   503.2   556.0   600.5   659.5   742.1   917.0  2493.4 10234.8 31376.8  85391.5    85226
read      480.2   762.8    68.9   132.0   161.1   392.5   481.5   535.2   577.5   633.9   721.4   877.7  2750.9 10608.8 31543.0  75097.6    75020
read      774.7  2233.8    68.9   128.5   156.4   430.4   574.8   673.3   736.3   804.3   895.6  1263.5  9902.8 31842.4 39010.5  12460.3    12441
read      506.4   786.7    74.4   124.6   149.1   383.3   479.8   537.8   587.7   656.9   765.6  1446.2  2703.0  9502.5 31531.0  56112.3    56208
read      664.5  1482.9    74.4   125.8   152.5   433.0   601.2   759.4   859.6   950.0  1057.6  1255.2  5206.9 26530.0 39461.7  17486.8    17446
read      591.6   808.9    74.4   163.2   222.3   474.2   547.0   609.0   676.2   791.1   962.9  1523.6  2502.4  9436.8 31684.3  86853.0    86943
read      468.6   701.8    74.4   122.5   145.3   386.0   478.7   533.7   579.7   637.8   721.6   950.0  2238.8  7898.7 31258.3  49153.5    49138
read      470.8   784.5    68.9   122.3   145.0   383.3   474.6   528.6   573.5   632.2   715.5   932.9  2193.9  9643.8 31777.2  49837.5    49839
