Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1622195190345
Timestamp end: 1622196990780

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      786.0  2765.3    80.4   141.3   179.7   325.6   406.2   452.3   487.5   534.5   616.9  2048.6 13748.7 32472.2 40856.6   6188.7     6170
read     3533.7 41580.1    74.4   138.7   178.5   356.8   459.7   514.5   552.2   605.2   711.8  1792.6 29076.1 711087.4 757898.0   7177.1     7187
read      955.6  1105.3    86.8   349.2   375.8   571.5   915.1  1454.6  1598.7  1722.3  1887.9  2149.0  3184.7 13393.2 32007.7  99240.2    99387
read      660.1   684.5   101.3   373.9   401.2   563.4   669.6   743.3   804.4   879.5   990.0  1161.7  1565.2  6966.6 31594.5  91920.9    91970
read      531.2   712.7    74.4   195.4   259.9   447.2   517.0   581.0   658.4   751.7   835.8   943.1  1400.7 10418.9 31565.2  79780.2    79658
read      442.4   705.1    74.4   127.2   154.2   363.5   447.3   504.9   551.3   613.2   692.9   829.9  2063.7  8668.9 31423.0  59138.7    59230
read      465.1   808.4    68.9   130.9   159.4   370.5   458.6   513.6   560.3   622.4   711.8   872.3  2606.0 10624.7 31742.3  78025.2    78081
read      457.1   772.1    68.9   125.0   149.0   356.0   450.6   507.1   553.0   614.7   702.5   917.1  2420.6 10305.5 31246.6  64136.8    64242
read      444.0   670.7    68.9   122.6   143.8   352.7   445.7   505.0   553.7   617.1   709.1   993.3  1950.8  8024.9 31167.5  37720.2    37702
read      440.5   625.5    68.9   121.3   143.6   352.9   447.4   505.3   553.0   615.9   705.7   988.0  2015.3  5771.3 30957.1  40718.5    40686
read      509.2   600.6    74.4   120.1   141.7   344.4   475.8   602.3   767.8   995.4  1175.6  1376.3  1783.0  5701.7 20086.6  30347.5    30376
read      449.8   750.6    74.4   120.0   141.4   346.1   438.4   499.8   549.5   614.2   712.6  1131.8  1999.8  9205.9 31154.4  38408.6    38416
read      450.1   718.8    74.4   124.5   149.0   355.3   447.4   504.0   548.7   611.2   699.8   898.0  2414.9  7503.6 31269.2  65902.8    65892
read      432.5   687.9    68.9   119.1   140.4   344.7   433.0   490.1   535.9   593.7   677.3   899.9  1927.3  7690.1 31453.7  39662.8    39560
read      450.5   907.6    80.4   130.0   157.1   351.9   462.3   530.1   575.0   625.3   690.3   798.4  1877.4 10237.0 35374.7  10027.3    10016
read      459.6   763.8    68.9   121.1   143.6   345.9   441.5   498.8   545.6   610.4   709.7  1078.2  2372.1  8768.5 31563.5  55087.9    55224
read      509.7   873.8    74.4   121.4   143.7   348.7   506.5   648.4   758.5   855.8   955.0  1096.2  2190.8 10931.4 31800.9  20009.1    19982
read      449.0   629.8    68.9   121.0   142.7   342.8   439.7   500.5   550.2   617.6   720.5  1230.8  2149.0  6339.0 30390.9  48075.9    48114
read      435.2   684.3    74.4   120.8   141.9   349.9   440.6   499.0   545.9   606.2   688.6   910.8  1825.1  7444.1 31571.4  36312.6    36283
read      398.0   500.9    74.4   119.3   138.9   332.0   421.2   476.8   517.3   565.1   631.2   829.6  1437.6  5883.5 19300.7  23361.5    23315
read      400.6   868.4    74.4   127.7   148.5   321.9   389.6   426.1   454.1   490.4   544.6   670.9  2211.2 10016.2 35339.4  11165.3    11150
read      525.7   635.6    74.4   169.9   224.0   459.3   543.4   598.8   643.2   710.9   823.4   994.9  1494.3  7722.4 30945.4  98601.9    98724
read      450.6   738.0    68.9   122.7   145.7   352.8   448.8   506.3   553.2   613.8   697.8   901.9  2302.5  8901.1 31534.8  56838.6    56880
read      383.9   622.1    74.4   124.2   144.7   327.8   402.5   443.0   472.2   509.0   568.4   710.5  1348.2  7316.1 30959.1  13394.3    13467
read      515.6   667.9    74.4   167.9   220.3   449.4   530.8   581.6   625.7   690.8   803.1   974.8  1485.1  8399.3 31081.6  99466.4    99368
read      440.1   644.1    68.9   121.0   142.8   349.6   442.9   499.2   544.9   606.8   691.1   914.9  2102.6  7220.6 30576.2  46151.9    46206
read      457.7   810.1    68.9   127.0   152.4   357.1   445.4   501.1   546.3   607.4   693.1   869.1  2648.3  9673.3 31891.0  71593.1    71651
read      419.3   818.1    74.4   119.3   139.1   335.0   425.2   481.6   522.0   569.4   634.9   820.4  1569.4 10204.7 32245.4  22827.2    22741
read      444.0   769.6    74.4   122.5   144.9   348.0   441.0   496.4   540.7   599.1   682.4   860.4  2328.1  9276.6 31554.1  56671.9    56654
read      469.4   551.3    74.4   153.1   194.9   413.3   494.7   544.1   587.1   647.8   742.8   901.0  1347.4  5774.6 30361.8  99498.9    99570
read      424.8   735.0    68.9   120.2   140.4   337.1   430.0   487.8   529.3   578.7   648.8   871.6  1912.1  9605.1 31351.8  23059.1    23047
read      454.3   756.9    68.9   126.5   151.1   357.9   448.7   504.0   548.3   608.9   693.4   868.9  2672.5  8226.6 31611.1  69862.4    70008
read      444.3   764.3    68.9   121.1   142.7   350.9   440.6   496.2   541.3   600.1   683.7   889.3  2008.4  9426.9 31487.9  42961.0    42943
read      452.5   741.9    74.4   122.2   144.4   356.9   451.4   508.6   555.8   617.8   704.9   942.3  2157.6  7918.3 31791.7  46804.7    46704
read      479.9   871.9    74.4   132.0   161.1   375.1   465.1   523.1   571.6   634.8   724.8   893.1  2752.5 11346.9 32190.3  76069.9    75970
read      433.1   787.9    74.4   121.3   141.7   341.6   433.6   490.5   531.0   579.0   647.7   862.5  2163.0  9302.3 31885.6  21868.1    21917
read      464.8   703.3    68.9   135.3   166.5   384.4   473.7   531.1   576.8   635.0   722.5   879.0  2235.8  8704.8 31039.0  82100.3    82027
read      465.7   797.4    68.9   133.6   164.1   379.3   468.6   523.0   565.5   623.1   708.5   867.9  2383.4 10948.4 31565.5  81509.3    81583
read      410.9   746.5    74.4   124.9   145.6   338.4   415.8   459.4   492.1   533.0   593.2   754.8  2041.1  8233.4 31676.8  14310.4    14259
read      411.8  1078.2    80.4   139.2   167.2   313.5   366.5   396.4   420.3   452.0   501.6   609.3  2710.9 15146.8 39601.7   7805.0     7821
read      422.5   788.4    68.9   124.1   144.9   340.2   428.9   478.8   514.7   558.3   625.3   814.2  2035.7  9808.5 32362.5  17677.9    17727
read      451.2   722.9    68.9   125.0   148.7   352.7   444.6   499.8   544.7   605.4   691.8   887.2  2584.6  8675.2 31232.7  65555.9    65559
