Random waveform, supplied seed
Total number of intervals = 600 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737)
Average QPS expected = 52043
Timestamp start: 1622180713351
Timestamp end: 1622182513945

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      781.3   936.6   101.3   373.7   399.6   512.6   648.3   861.6   954.5  1130.0  1593.6  1909.8  3001.5 10867.9 32281.9  99092.7    99387
read      569.8   536.8    74.4   311.9   361.4   481.9   535.2   596.4   679.7   796.7   886.3   979.4  1364.6  6394.2 28211.7  91773.7    91970
read      433.4   686.9    68.9   127.8   152.7   356.4   438.1   486.9   527.4   584.0   664.8   802.1  2577.7  7026.3 31572.3  79512.7    79658
read      465.1   869.2    74.4   123.5   147.6   361.8   452.0   506.8   552.4   610.2   687.2   874.7  2406.8 11574.3 32055.8  59168.0    59230
read      458.5   698.0    74.4   131.6   159.7   372.9   458.7   512.0   556.1   616.5   703.2   870.4  2593.7  7376.3 30729.4  78099.0    78081
read      449.9   717.1    74.4   123.9   147.1   350.3   440.8   492.7   534.5   590.1   673.2   856.1  2570.9  9450.8 30765.9  64152.7    64242
read      434.8   682.1    74.4   119.2   140.2   351.4   436.1   490.4   534.1   587.7   662.5   868.5  1990.4  7564.8 31500.5  37829.0    37702
read      427.0   533.4    74.4   118.9   139.7   349.3   435.3   491.1   536.8   593.1   673.5   936.3  1948.3  5785.3 16232.0  40634.7    40686
read      483.0   654.8    74.4   117.4   138.2   339.7   439.9   518.3   587.4   740.9  1113.3  1367.2  2087.2  6446.7 30570.8  30361.0    30376
read      512.6  1018.2    74.4   115.7   135.2   336.0   427.0   492.0   549.4   643.3  1224.4  1604.0  2345.5 18015.1 32211.4  38351.3    38416
read      428.4   591.5    68.9   122.5   146.0   351.9   441.9   493.5   534.4   587.6   663.1   821.1  2271.5  6581.8 30481.0  66032.7    65892
read      463.1   925.0    74.4   119.3   140.8   353.5   439.1   492.6   536.4   590.9   667.1   913.9  2551.6 12124.7 31939.5  39416.0    39560
read      493.5  1147.9    80.4   126.8   152.2   352.8   458.4   525.9   572.9   627.8   694.8   815.6  3612.5 13781.5 32531.2   9973.3    10016
read      485.5   730.3    74.4   120.7   144.7   349.2   440.1   497.4   546.3   617.2   739.5  1630.6  2728.2  7253.1 30620.0  55109.7    55224
read      467.6   660.1    74.4   120.1   142.7   342.3   462.4   541.7   617.9   745.8   888.0  1061.5  2297.4  8173.7 30576.8  20138.7    19982
read      482.5   654.1    74.4   116.7   137.5   331.0   422.6   482.9   537.9   621.7   912.3  1728.1  2292.3  6983.3 15983.7  48251.3    48114
read      444.8   767.5    74.4   119.5   141.2   352.0   438.8   494.9   539.6   593.7   671.8   942.3  2062.4  8509.7 31874.0  36458.3    36283
read      490.0   765.5    74.4   119.3   140.2   339.3   460.4   547.8   640.9   823.0   981.0  1161.7  2749.2  7303.6 35964.4  23390.7    23315
read      719.3  2257.1    80.4   125.8   152.4   374.1   505.2   581.9   632.6   690.1   771.9  1137.9  9945.4 31939.3 37877.9  11108.0    11150
read      711.4  1004.0    80.4   353.2   386.3   504.1   580.4   703.5   840.3   930.7  1066.2  1676.6  3237.0 12615.1 33815.6  98419.0    98724
read      435.5   714.0    74.4   121.7   144.7   350.9   439.1   490.6   531.8   585.8   666.5   821.1  2226.7  8847.5 31103.4  57008.0    56880
read      489.7   974.1    74.4   124.1   146.9   361.2   477.6   565.7   635.3   709.7   792.6   927.3  3033.6  8765.5 32513.5  13599.7    13467
read      730.9   755.7    80.4   359.6   392.1   509.0   612.6   804.8   900.5   997.8  1474.0  1821.7  2942.1  7985.5 30636.7  99515.7    99368
read      471.4   799.1    68.9   120.5   143.3   379.6   476.4   538.5   588.8   650.8   734.7   999.4  2031.8  8512.7 36459.6  46444.0    46206
read      477.9   866.8    74.4   128.9   155.7   372.5   464.2   515.4   557.3   615.4   701.1   900.5  2829.1 10842.6 31894.7  71506.7    71651
read      479.6   610.5    74.4   119.9   142.2   347.9   471.5   555.2   637.9   796.8   955.9  1135.2  2308.8  7236.2 26060.4  22553.3    22741
read      576.0   780.0    74.4   125.7   153.4   394.8   501.3   569.0   625.5   732.9  1548.3  1880.4  2845.3  7343.1 30836.2  56369.7    56654
read      485.7   629.1    74.4   153.7   198.6   418.4   493.5   546.3   595.4   668.3   771.4   924.6  1691.3  7588.8 30869.0  99544.0    99570
read      476.9   772.9    74.4   117.9   138.6   333.7   447.5   524.8   600.1   786.9   951.1  1125.1  2768.3  7752.6 32025.6  22992.0    23047
read      605.9  1000.4    74.4   134.3   170.8   413.1   497.4   566.3   647.7   788.6  1419.3  1776.0  3223.4 12166.8 32359.4  70036.7    70008
read      424.9   611.5    74.4   118.3   139.4   345.3   429.5   482.2   527.1   583.7   662.4   930.8  1865.6  7227.1 30743.3  42758.3    42943
read      449.8   686.6    74.4   120.5   142.7   357.0   447.9   503.2   547.7   607.1   690.9  1031.6  2123.9  6790.3 31193.4  46571.7    46704
read      467.5   825.0    74.4   130.7   158.4   369.8   460.8   515.2   559.5   618.1   698.6   858.6  2724.4 11985.1 31741.8  75897.3    75970
read      447.2   637.1    74.4   117.7   138.9   338.2   448.6   519.1   577.6   681.3   863.5  1065.8  1701.8  6992.5 31203.3  21930.7    21917
