start  1622187491 
submit splash2x-fft 1622187492 
submit freqmine 1622187493 
submit blackscholes 1622187493 
submit dedup 1622187494 
submit canneal 1622187494 
submit ferret 1622187496 
pause dedup 1622187501 
pause splash2x-fft 1622187501 
change_core 2 1622187501 
unpause dedup 1622187521 
unpause splash2x-fft 1622187521 
change_core 1 1622187521 
pause dedup 1622187531 
pause splash2x-fft 1622187532 
change_core 2 1622187532 
unpause dedup 1622187540 
unpause splash2x-fft 1622187540 
change_core 1 1622187540 
pause dedup 1622187550 
pause splash2x-fft 1622187550 
change_core 2 1622187550 
unpause dedup 1622187580 
unpause splash2x-fft 1622187581 
change_core 1 1622187581 
pause dedup 1622187601 
pause splash2x-fft 1622187601 
change_core 2 1622187601 
unpause dedup 1622187630 
unpause splash2x-fft 1622187630 
change_core 1 1622187630 
pause dedup 1622187661 
pause splash2x-fft 1622187662 
change_core 2 1622187662 
unpause dedup 1622187670 
unpause splash2x-fft 1622187670 
change_core 1 1622187670 
pause dedup 1622187680 
pause splash2x-fft 1622187680 
change_core 2 1622187680 
unpause dedup 1622187721 
unpause splash2x-fft 1622187721 
change_core 1 1622187721 
pause dedup 1622187731 
pause splash2x-fft 1622187731 
change_core 2 1622187731 
unpause dedup 1622187741 
unpause splash2x-fft 1622187741 
change_core 1 1622187741 
pause dedup 1622187751 
pause splash2x-fft 1622187751 
change_core 2 1622187751 
unpause dedup 1622187790 
unpause splash2x-fft 1622187790 
change_core 1 1622187790 
finish splash2x-fft 1622187820 
pause dedup 1622187822 
change_core 2 1622187822 
unpause dedup 1622187901 
change_core 1 1622187901 
pause dedup 1622187911 
change_core 2 1622187911 
unpause dedup 1622187940 
change_core 1 1622187940 
pause dedup 1622187951 
change_core 2 1622187951 
unpause dedup 1622187960 
change_core 1 1622187960 
pause dedup 1622187968 
change_core 2 1622187968 
finish dedup 1622187968 
finish blackscholes 1622188195 
finish canneal 1622188668 
finish freqmine 1622188684 
finish ferret 1622188931 
end  1622188931 
