Random waveform, supplied seed
Total number of intervals = 600 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737)
Average QPS expected = 52043
Timestamp start: 1622175835368
Timestamp end: 1622177635912

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      413.4  1018.9    86.8   158.2   202.0   316.2   364.1   395.2   420.4   450.4   490.9   572.7  2441.4 13576.8 35845.3   4960.7     5031
read      812.7  1974.7    74.4   136.6   170.1   404.3   505.2   584.3   672.6   844.6  1658.6  2543.4  8488.4 31083.6 37032.8  54531.3    54838
read      997.3  2609.3    74.4   258.6   304.1   481.1   593.1   681.4   756.5   853.7  1011.9  1975.3 12755.6 31847.3 40216.5  74955.0    74868
read      453.8   450.7    68.9   122.6   143.2   357.3   469.4   548.8   615.4   721.8   917.8  1160.6  1556.6  4255.6 12205.4  29901.0    30015
read      600.2   924.9    74.4   125.0   148.8   390.4   516.1   617.4   717.4   963.6  1386.8  1822.3  3203.3  8815.2 31729.8  40775.7    40743
read      514.3   774.5    74.4   124.9   146.7   374.0   502.6   585.1   660.3   819.0  1009.9  1225.9  2375.3 10382.3 32489.8  23476.3    23648
read      799.6   822.1    86.8   391.1   419.6   535.4   667.7   903.6   997.7  1193.0  1647.0  1969.5  2915.1 11157.6 30519.7  97682.7    97712
read      500.1   732.8    74.4   132.2   163.8   409.1   495.9   545.0   588.5   656.7   760.3   998.2  2745.8  9576.8 30566.2  53346.3    53672
read      472.4   754.8    74.4   125.4   148.8   367.1   459.1   510.8   555.3   617.9   707.7   999.0  2674.5  8898.2 31562.4  55260.7    55395
read      544.0   821.7    74.4   123.8   145.3   369.0   491.4   588.0   684.3   971.4  1198.1  1431.7  2440.8  8706.1 31655.4  29507.7    29425
read      562.0   938.2    74.4   125.9   149.2   425.1   608.4   719.8   784.0   850.9   931.0  1081.1  2748.1 10400.6 32414.2  15160.3    15173
read      857.8   863.0    86.8   372.2   397.2   530.4   798.3  1005.4  1463.3  1620.4  1766.0  2043.8  2998.0  9442.3 30924.0  82068.0    82475
read      470.7   585.0    74.4   149.6   192.8   419.6   487.0   527.6   564.8   630.2   744.8   889.5  1282.5  6479.3 30050.8  90672.0    90555
read      458.3   709.1    74.4   121.6   143.3   361.5   447.9   499.5   543.6   602.8   684.6   996.9  2479.2  8115.1 31234.5  48079.3    47944
read      529.3   785.2    74.4   123.0   144.7   361.3   487.2   588.4   695.4   956.3  1145.3  1343.7  1969.0 10324.4 31331.6  28217.0    28313
read      624.3  1227.8    74.4   122.2   144.6   367.7   529.2   740.6   948.6  1096.8  1239.2  1438.5  3833.2 16785.7 36330.7  28568.0    28504
read      606.5  1093.3    74.4   121.9   144.1   381.9   569.7   787.0   920.3  1031.9  1153.1  1349.0  3304.8 12259.7 36105.6  23029.0    22886
read      522.1   645.7    74.4   121.5   142.7   360.6   470.6   565.4   656.1   916.4  1252.1  1511.3  2011.2  7224.4 20299.8  35485.0    35717
read      539.9  1137.1    74.4   123.6   145.8   391.3   507.9   593.7   668.6   753.1   851.1  1012.4  3293.3 14335.3 32899.5  14743.7    14828
read      627.3  1160.5    74.4   153.2   204.6   440.2   508.1   566.7   640.8   774.2   917.4  1586.8  4639.5 14597.6 35197.5  81470.7    81704
read      443.3   620.5    74.4   121.8   143.6   354.8   444.7   496.9   540.6   596.4   678.1   946.0  2137.1  7710.6 30174.4  55598.7    55771
read      458.4   649.4    74.4   134.8   165.8   385.0   469.7   523.2   567.9   627.9   708.9   859.0  2191.3  8187.1 30473.0  85140.3    85226
read     1124.5  3683.6    74.4   227.3   373.7   534.6   620.9   867.9   970.5  1072.4  1593.8  3641.8  8631.9 35221.7 139842.8  75020.7    75020
read      540.6  1576.5    74.4   122.4   142.6   371.8   462.8   520.7   572.4   646.9   744.9   907.7  3112.6 30784.8 37057.0  12516.0    12441
read      611.0   826.6    74.4   128.7   155.7   394.4   510.0   590.6   676.4   923.0  1671.6  2030.9  2753.1  6852.6 30745.5  56043.0    56208
read      550.2   902.2    74.4   122.8   145.4   401.8   547.9   664.1   773.4   869.8   971.5  1132.8  3183.4  9543.8 31852.9  17647.0    17446
read      815.0   945.0    86.8   367.0   396.9   535.5   687.3   903.7  1046.7  1501.0  1688.3  1967.2  2849.9 13797.2 31513.9  86882.0    86943
read      444.2   612.7    74.4   121.0   142.8   364.1   450.3   500.5   544.7   604.9   689.1   921.7  2271.7  6415.6 30780.4  49174.3    49138
read      435.4   515.4    74.4   121.9   143.3   357.8   445.8   497.3   540.2   596.5   675.3   905.1  2111.1  5954.7 14325.3  49923.7    49839
read      436.3   612.5    68.9   119.3   140.1   355.1   439.9   492.3   536.7   592.9   669.1   960.4  2060.8  6650.8 29173.7  47553.0    47752
read      508.2   646.5    74.4   120.2   142.1   361.6   482.8   575.1   661.4   872.1  1093.1  1311.1  2320.1  6644.7 30861.4  27137.3    27181
read      771.1  2639.9    80.4   142.9   195.5   386.8   472.0   518.5   552.3   596.4   671.8  1325.6 11693.7 32251.0 62022.3   6216.3     6170
read      674.1  2258.1    80.4   134.8   175.3   393.1   489.1   537.4   570.4   608.6   659.7   764.7 11819.6 32620.5 40069.1   7296.3     7187
