Random waveform, supplied seed
Total number of intervals = 600 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737)
Average QPS expected = 52043
Timestamp start: 1622178141095
Timestamp end: 1622179941742

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      589.3  1778.1    80.4   159.1   200.1   322.6   380.9   416.9   445.6   492.0   615.3  1977.0  4651.4 31174.1 33189.2   4963.0     5031
read      692.0  1701.7    68.9   125.4   149.6   356.8   456.0   531.5   606.2   758.7  1413.5  2128.1  7282.9 29507.1 37903.7  54725.0    54838
read      784.2  2298.7    74.4   171.5   235.3   439.0   526.3   589.3   641.0   715.7   824.3  1007.6 12581.6 31521.8 40092.0  74920.7    74868
read      702.9  1494.6    74.4   129.7   157.2   400.6   534.6   636.2   744.1   997.6  1381.4  2084.5  5484.8 29396.4 38982.9  29769.3    30015
read      547.1   870.4    74.4   120.7   142.8   360.2   456.3   526.0   588.8   691.2  1281.9  1766.6  3562.9  7855.2 31615.4  40498.7    40743
read      552.6  1154.2    74.4   123.1   144.6   350.0   485.7   593.4   759.3   921.1  1058.9  1240.8  3083.3 14868.9 36856.3  23581.3    23648
read      778.0   878.4    80.4   389.7   419.4   533.2   614.2   879.5   981.3  1087.8  1567.2  1874.5  2839.8 12638.1 31656.2  97621.3    97712
read      471.8   570.8    74.4   130.8   158.3   400.7   491.4   538.8   577.5   631.8   725.1   969.7  2284.8  5952.9 24426.9  53648.0    53672
read      512.4  1024.1    74.4   130.2   155.2   379.1   471.3   527.0   571.1   630.4   721.5  1013.4  3116.5 13670.4 32359.5  55326.7    55395
read      501.2   562.6    74.4   123.8   145.9   360.0   472.1   566.1   650.1   885.8  1139.2  1351.2  2022.4  4523.0 19866.9  29428.3    29425
read      514.5   853.1    80.4   126.6   152.5   381.2   544.9   662.7   729.1   796.3   872.7  1014.6  2366.6  9287.7 38986.2  15260.7    15173
read      876.9   889.4    86.8   375.0   397.6   540.4   833.6  1077.0  1515.6  1627.8  1767.3  2040.5  3036.4  9087.8 31158.9  82783.0    82475
read      565.8   848.2    74.4   203.1   274.3   485.5   544.0   591.9   653.4   761.5   884.6   999.7  1370.2 13270.6 32369.6  90909.3    90555
read      441.7   587.7    74.4   123.0   145.8   362.1   449.4   500.9   543.4   597.2   673.9   878.9  2189.1  6435.2 29045.6  48127.3    47944
read      546.1   942.9    74.4   123.0   145.7   359.7   477.7   573.2   673.0   937.8  1154.9  1385.3  3043.8 10260.2 32189.0  28263.3    28313
read      598.0  1211.8    74.4   118.9   139.7   351.8   482.2   605.7   887.3  1143.3  1312.8  1529.6  3202.6 19736.4 34768.1  28501.7    28504
read      575.3  1017.8    74.4   125.9   148.4   366.3   548.1   743.4   871.7   977.7  1086.9  1247.8  2995.8 12377.7 31997.2  22708.0    22886
read      511.4   793.6    68.9   125.0   146.8   365.5   464.2   538.1   601.5   699.1  1049.5  1475.3  2354.7 11314.9 31433.0  35666.0    35717
read      638.6  1688.7    74.4   127.1   152.7   380.4   525.8   643.8   716.2   789.1   877.8  1080.1  6186.0 30721.0 37108.3  14732.3    14828
read      660.6  1120.0    74.4   170.5   235.3   468.5   535.6   593.9   701.7   853.1  1009.2  1730.2  3948.4 14008.2 33839.0  81613.7    81704
read      439.8   664.7    74.4   122.9   145.8   361.5   450.2   499.6   540.0   592.1   664.7   814.3  2147.7  8500.0 30875.2  55453.7    55771
read      518.4   849.8    74.4   147.1   186.2   431.8   530.2   583.9   624.2   675.2   760.1   984.0  2411.2 11958.2 32266.4  85340.7    85226
read      480.4   798.0    74.4   131.5   160.8   383.9   472.8   527.9   572.0   631.4   716.8   913.7  2664.1 11193.3 31771.0  75013.3    75020
read      456.5   923.7    74.4   123.0   147.2   347.7   447.8   522.3   580.8   644.5   716.4   821.0  2190.9 10646.2 32386.1  12484.3    12441
read      517.0   691.9    74.4   126.4   151.4   357.2   454.1   520.2   581.4   675.5  1005.7  1757.2  2746.5  5600.7 25012.7  56143.3    56208
read      590.7  1372.0    74.4   123.2   147.7   364.5   507.2   631.3   739.9   838.9   948.9  1155.1  4526.5 23646.9 35523.6  17643.0    17446
read      784.1   765.4    80.4   362.8   397.9   527.8   638.3   886.7   998.8  1416.1  1675.5  1957.5  2883.9  6625.4 29790.8  86782.3    86943
read      465.0   819.1    74.4   124.0   147.4   367.7   455.8   508.9   552.5   606.6   682.0   873.3  2488.6  8771.9 31633.0  49091.0    49138
read      453.2   710.1    74.4   122.8   146.2   361.1   447.0   496.3   537.9   591.7   668.4   876.3  2493.0  8410.7 31057.1  49722.0    49839
read      456.6   783.7    74.4   122.8   144.8   361.2   448.4   497.7   537.7   592.0   669.6   880.0  2395.0  9864.0 31418.2  47544.7    47752
read      516.8  1021.7    74.4   121.8   143.8   348.1   463.0   550.6   636.1   827.0  1044.6  1246.6  2112.0 11612.3 36964.9  27160.3    27181
read      604.8  2179.8    80.4   139.8   182.7   314.1   384.4   423.9   451.9   486.3   538.8   741.4  7594.5 31839.1 37069.2   6171.0     6170
read      695.4  2390.2    80.4   135.1   175.5   333.1   415.9   463.8   499.6   543.8   610.1  1055.0 11884.6 31700.9 39215.6   7189.7     7187
