start  1622180714 
submit splash2x-fft 1622180716 
submit freqmine 1622180716 
submit blackscholes 1622180717 
submit dedup 1622180717 
submit canneal 1622180718 
submit ferret 1622180721 
pause dedup 1622180721 
pause splash2x-fft 1622180721 
change_core 2 1622180721 
unpause dedup 1622180724 
unpause splash2x-fft 1622180724 
change_core 1 1622180724 
pause dedup 1622180726 
pause splash2x-fft 1622180726 
change_core 2 1622180726 
unpause dedup 1622180730 
unpause splash2x-fft 1622180730 
change_core 1 1622180730 
pause dedup 1622180732 
pause splash2x-fft 1622180733 
change_core 2 1622180733 
unpause dedup 1622180743 
unpause splash2x-fft 1622180743 
change_core 1 1622180743 
pause dedup 1622180748 
pause splash2x-fft 1622180748 
change_core 2 1622180748 
unpause dedup 1622180757 
unpause splash2x-fft 1622180757 
change_core 1 1622180757 
pause dedup 1622180766 
pause splash2x-fft 1622180766 
change_core 2 1622180766 
unpause dedup 1622180768 
unpause splash2x-fft 1622180768 
change_core 1 1622180768 
pause dedup 1622180772 
pause splash2x-fft 1622180772 
change_core 2 1622180772 
unpause dedup 1622180784 
unpause splash2x-fft 1622180784 
change_core 1 1622180784 
pause dedup 1622180786 
pause splash2x-fft 1622180786 
change_core 2 1622180786 
unpause dedup 1622180790 
unpause splash2x-fft 1622180790 
change_core 1 1622180790 
pause dedup 1622180792 
pause splash2x-fft 1622180792 
change_core 2 1622180792 
unpause dedup 1622180805 
unpause splash2x-fft 1622180805 
change_core 1 1622180805 
pause dedup 1622180814 
pause splash2x-fft 1622180814 
change_core 2 1622180814 
unpause dedup 1622180838 
unpause splash2x-fft 1622180838 
change_core 1 1622180838 
pause dedup 1622180841 
pause splash2x-fft 1622180841 
change_core 2 1622180841 
unpause dedup 1622180849 
unpause splash2x-fft 1622180849 
change_core 1 1622180849 
pause dedup 1622180852 
pause splash2x-fft 1622180852 
change_core 2 1622180852 
unpause dedup 1622180856 
unpause splash2x-fft 1622180856 
change_core 1 1622180856 
pause dedup 1622180859 
pause splash2x-fft 1622180859 
change_core 2 1622180859 
unpause dedup 1622180865 
unpause splash2x-fft 1622180865 
change_core 1 1622180865 
pause dedup 1622180870 
pause splash2x-fft 1622180871 
