start  1622175837 
submit splash2x-fft 1622175838 
submit freqmine 1622175839 
submit blackscholes 1622175839 
submit dedup 1622175840 
submit canneal 1622175841 
submit ferret 1622175844 
pause dedup 1622175844 
pause splash2x-fft 1622175844 
change_core 2 1622175844 
unpause dedup 1622175846 
unpause splash2x-fft 1622175846 
change_core 1 1622175846 
pause dedup 1622175849 
pause splash2x-fft 1622175849 
change_core 2 1622175849 
unpause dedup 1622175852 
unpause splash2x-fft 1622175852 
change_core 1 1622175852 
pause dedup 1622175855 
pause splash2x-fft 1622175855 
change_core 2 1622175855 
unpause dedup 1622175864 
unpause splash2x-fft 1622175864 
change_core 1 1622175864 
pause dedup 1622175870 
pause splash2x-fft 1622175871 
change_core 2 1622175871 
unpause dedup 1622175878 
unpause splash2x-fft 1622175879 
change_core 1 1622175879 
pause dedup 1622175888 
pause splash2x-fft 1622175888 
change_core 2 1622175888 
unpause dedup 1622175891 
unpause splash2x-fft 1622175891 
change_core 1 1622175891 
pause dedup 1622175893 
pause splash2x-fft 1622175893 
change_core 2 1622175893 
unpause dedup 1622175906 
unpause splash2x-fft 1622175907 
change_core 1 1622175907 
pause dedup 1622175909 
pause splash2x-fft 1622175909 
change_core 2 1622175909 
unpause dedup 1622175911 
unpause splash2x-fft 1622175911 
change_core 1 1622175911 
pause dedup 1622175915 
pause splash2x-fft 1622175915 
change_core 2 1622175915 
unpause dedup 1622175927 
unpause splash2x-fft 1622175927 
change_core 1 1622175927 
pause dedup 1622175936 
pause splash2x-fft 1622175936 
change_core 2 1622175936 
unpause dedup 1622175959 
unpause splash2x-fft 1622175960 
change_core 1 1622175960 
pause dedup 1622175963 
pause splash2x-fft 1622175963 
change_core 2 1622175963 
unpause dedup 1622175972 
unpause splash2x-fft 1622175972 
change_core 1 1622175972 
pause dedup 1622175974 
pause splash2x-fft 1622175974 
change_core 2 1622175974 
unpause dedup 1622175978 
unpause splash2x-fft 1622175978 
change_core 1 1622175978 
pause dedup 1622175981 
pause splash2x-fft 1622175981 
change_core 2 1622175981 
unpause dedup 1622175987 
unpause splash2x-fft 1622175987 
change_core 1 1622175987 
pause dedup 1622175992 
pause splash2x-fft 1622175992 
change_core 2 1622175992 
unpause dedup 1622175999 
unpause splash2x-fft 1622175999 
change_core 1 1622175999 
pause dedup 1622176001 
pause splash2x-fft 1622176002 
