#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      213.1   205.0    59.1    99.6   111.4   184.9   228.8   254.0   273.3   297.0   329.9   384.1   551.0  2237.5  8411.3  29931.0    30000
read      267.7   486.4    59.1    99.5   111.7   200.7   254.4   288.0   314.8   349.9   396.8   485.7  1203.3  7743.5 17093.6  30071.6    30010
read      258.7   437.0    63.8    94.5   105.2   200.5   259.5   291.0   314.4   344.7   388.8   458.9  1018.5  6426.8 14321.2  29999.5    30020
read      230.6   412.9    59.1    96.3   106.4   181.6   223.7   250.1   270.9   297.1   336.4   401.6   701.0  6438.6 15243.0  30023.5    30030
read      254.2   433.5    63.8    98.2   110.3   200.0   248.6   277.6   301.3   332.1   373.9   446.3   853.0  6740.5 14794.1  30107.0    30040
read      242.2   420.1    63.8    95.3   105.4   187.9   240.5   269.0   290.9   318.9   358.8   423.4   807.8  6433.9 12854.4  30077.4    30050
read      251.3   427.9    59.1    99.9   110.8   196.2   248.0   277.5   301.7   332.6   373.5   440.3   847.6  6455.5 14096.5  30037.5    30060
read      257.9   427.7    63.8    97.3   108.3   200.4   256.2   286.5   310.3   341.9   386.3   458.0   975.6  6366.9 12619.1  29996.6    30070
read      235.5   428.6    59.1    91.6   101.9   179.2   228.5   257.5   281.3   311.4   351.5   420.7   814.6  6517.0 15146.8  30151.3    30080
read      228.7   410.3    59.1    90.2    99.3   173.3   226.5   255.6   277.2   305.4   343.9   407.0   764.7  6227.0 12681.4  30102.4    30090
read      236.5   428.8    59.1    91.3   101.0   180.1   233.8   265.4   288.2   316.8   357.1   422.4   801.2  6379.1 15619.5  30058.9    30100
read      229.0   409.0    59.1    90.3    99.5   173.7   225.4   254.1   276.4   305.3   344.6   412.6   748.1  6336.2 12676.5  30126.5    30110
read      235.7   413.7    63.8    91.2   100.4   178.4   233.5   264.3   286.7   315.1   355.5   421.6   831.6  6168.7 12873.1  30080.0    30120
read      230.3   405.5    63.8    92.5   102.1   174.9   223.1   251.9   274.6   304.7   345.2   417.7   762.5  6172.2 12671.4  30171.5    30130
read      227.8   401.8    59.1    91.6   100.8   173.4   223.6   253.1   275.7   305.0   344.0   410.0   734.3  5979.4 11943.0  30072.6    30140
read      222.2   408.4    59.1    90.5    99.4   167.9   213.2   240.4   262.5   290.1   328.7   396.2   742.0  6416.2 12704.5  30150.3    30150
read      228.6   388.0    59.1    90.2    99.2   175.1   228.3   258.7   281.1   309.7   348.6   414.7   736.8  6183.4 10404.5  30130.5    30160
read      221.3   329.3    59.1    93.6   103.5   177.3   224.7   253.5   275.7   304.5   343.4   407.4   655.3  5134.0 12015.1  30151.8    30170
read      199.6   186.7    59.1    94.3   104.1   171.7   214.6   239.6   259.3   283.4   315.9   369.2   508.7  1901.4  7757.4  30148.6    30180
read      208.6   172.2    54.7    94.4   106.5   183.5   227.7   253.5   273.0   296.7   330.0   383.6   517.9  1768.8  7573.4  30199.4    30190

